project_id,sov_line_id,week_end,labor_hours_w,labor_cost_w,st_hours_w,ot_hours_w,material_cost_w,material_qty_w,pct_complete,total_billed,scheduled_value,description,labor_hours_td,labor_cost_td,material_cost_td,st_hours_td,ot_hours_td,pct_complete_td,total_billed_td,estimated_labor_hours,estimated_labor_cost,estimated_material_cost,productivity_factor,budget_hours_adj,earned_labor_hours_td,earned_labor_cost_td,earned_material_cost_td,labor_burn_mult_cost,labor_burn_mult_hours,material_burn_mult_cost,ot_ratio_td,billing_lag_ratio
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-03-31,16.0,1265.84,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,1265.84,0.0,16.0,0.0,0.0,0.0,1850,127450,83100,1.0,1850.0,0.0,0.0,0.0,,,,0.0,
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-04-07,80.0,6989.039999999999,72.0,8.0,0.0,0.0,0.0,0.0,0.0,,96.0,8254.88,0.0,88.0,8.0,0.0,0.0,1850,127450,83100,1.0,1850.0,0.0,0.0,0.0,,,,0.08333333333246527,
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-04-14,78.0,6949.429999999999,74.0,4.0,0.0,0.0,0.0,0.0,0.0,,174.0,15204.309999999998,0.0,162.0,12.0,0.0,0.0,1850,127450,83100,1.0,1850.0,0.0,0.0,0.0,,,,0.06896551724098296,
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-04-21,86.0,7789.589999999999,80.0,6.0,0.0,0.0,0.0,0.0,0.0,,260.0,22993.899999999998,0.0,242.0,18.0,0.0,0.0,1850,127450,83100,1.0,1850.0,0.0,0.0,0.0,,,,0.06923076923050296,
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-04-28,66.0,5818.78,62.0,4.0,0.0,0.0,0.0,0.0,0.0,,326.0,28812.679999999997,0.0,304.0,22.0,0.0,0.0,1850,127450,83100,1.0,1850.0,0.0,0.0,0.0,,,,0.06748466257648011,
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-05-05,88.0,7142.719999999999,88.0,0.0,0.0,0.0,0.0,0.0,0.0,,414.0,35955.399999999994,0.0,392.0,22.0,0.0,0.0,1850,127450,83100,1.0,1850.0,0.0,0.0,0.0,,,,0.05314009661822913,
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-05-12,60.0,5271.039999999999,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,474.0,41226.439999999995,0.0,452.0,22.0,0.0,0.0,1850,127450,83100,1.0,1850.0,0.0,0.0,0.0,,,,0.04641350210960672,
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-05-19,72.0,5968.0599999999995,72.0,0.0,0.0,0.0,0.0,0.0,0.0,,546.0,47194.49999999999,0.0,524.0,22.0,0.0,0.0,1850,127450,83100,1.0,1850.0,0.0,0.0,0.0,,,,0.0402930402929665,
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-05-26,28.0,2056.48,24.0,4.0,0.0,0.0,13.0,268500.0,2064200.0,General Conditions & Project Management,574.0,49250.979999999996,0.0,548.0,26.0,13.0,268500.0,1850,127450,83100,1.0,1850.0,240.5,16568.5,10803.0,2.9725672209311056,2.386694386684463,0.0,0.045296167247307846,0.18343009310986896
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-06-02,16.0,1732.8799999999999,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,590.0,50983.85999999999,0.0,564.0,26.0,13.0,268500.0,1850,127450,83100,1.0,1850.0,240.5,16568.5,10803.0,3.0771560491291856,2.453222453212253,0.0,0.0440677966100948,0.189884022346368
PRJ-2024-001,PRJ-2024-001-SOV-01,2024-06-09,24.0,2306.96,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,614.0,53290.81999999999,0.0,588.0,26.0,13.0,268500.0,1850,127450,83100,1.0,1850.0,240.5,16568.5,10803.0,3.21639375924174,2.553014553003938,0.0,0.0423452768728952,0.19847605214152625
